Reading Airport file from airports.txt
There were 5740 Airports with IATA code
Reading Routes file from routes.txt
There were 68292 valid routes
There were 528 invalid routes

The epsilon is 1e-15 
The damping factor is 0.85 
The maximum number of iterations is 1000 

IATA	PageRank	Name
MCI 	0.00053986	Kansas City Intl, United States
OPO 	0.00053425	Porto, Portugal
MLA 	0.00053414	Luqa, Malta
CGH 	0.00053397	Congonhas, Brazil
BNA 	0.00052469	Nashville Intl, United States
UIO 	0.00052206	Mariscal Sucre Intl, Ecuador
NNG 	0.00051819	Wuxu, China
ALA 	0.00051819	Almaty, Kazakhstan
EMA 	0.00051755	Nottingham East Midlands, United Kingdom
NGO 	0.00051713	Chubu Centrair Intl, Japan
FAO 	0.00051702	Faro, Portugal
ACE 	0.00051605	Lanzarote, Spain
LOS 	0.00051359	Murtala Muhammed, Nigeria
SFB 	0.00051195	Orlando Sanford Intl, United States
CHC 	0.00051174	Christchurch Intl, New Zealand
TYN 	0.00050611	Wusu, China
HOU 	0.00050422	William P Hobby, United States
TUN 	0.00050133	Carthage, Tunisia
HET 	0.00050081	Baita Airport, China
BGO 	0.00049761	Flesland, Norway
FOC 	0.00049650	Changle, China
NCL 	0.00049409	Newcastle, United Kingdom
YWG 	0.00049178	Winnipeg Intl, Canada
LCA 	0.00049143	Larnaca, Cyprus
BUD 	0.00048877	Ferihegy, Hungary
KTN 	0.00048850	Ketchikan Intl, United States
CFU 	0.00048778	Ioannis Kapodistrias Intl, Greece
CGB 	0.00048467	Marechal Rondon, Brazil
YFB 	0.00048381	Iqaluit, Canada
DMM 	0.00048168	King Fahd Intl, Saudi Arabia
DAC 	0.00048008	Zia Intl, Bangladesh
AER 	0.00047769	Sochi, Russia
KEF 	0.00047627	Keflavik International Airport, Iceland
RGN 	0.00047393	Yangon Intl, Burma
CTA 	0.00047340	Catania Fontanarossa, Italy
OAK 	0.00047227	Metropolitan Oakland Intl, United States
BSL 	0.00046756	EuroAirport Basel-Mulhouse-Freiburg, Switzerland
ACC 	0.00046730	Kotoka Intl, Ghana
BAH 	0.00046698	Bahrain Intl, Bahrain
SKG 	0.00046253	Makedonia, Greece
AUS 	0.00046243	Austin Bergstrom Intl, United States
BEL 	0.00045842	Val De Cans Intl, Brazil
YRT 	0.00045601	Rankin Inlet, Canada
PUS 	0.00045524	Gimhae Intl, South Korea
CPT 	0.00044871	Cape Town Intl, South Africa
YOW 	0.00044253	Ottawa Macdonald Cartier Intl, Canada
MTY 	0.00044195	General Mariano Escobedo Intl, Mexico
KRT 	0.00043944	Khartoum, Sudan
TLS 	0.00043740	Blagnac, France
RDU 	0.00043493	Raleigh Durham Intl, United States
PSA 	0.00043438	Pisa, Italy
BKI 	0.00043430	Kota Kinabalu Intl, Malaysia
CRL 	0.00043402	Brussels South, Belgium
ABV 	0.00043288	Nnamdi Azikiwe Intl, Nigeria
GRO 	0.00043037	Girona, Spain
MEM 	0.00042839	Memphis Intl, United States
SYZ 	0.00042770	Shiraz Shahid Dastghaib Intl, Iran
MAH 	0.00042702	Menorca, Spain
SAL 	0.00042649	El Salvador Intl, El Salvador
MES 	0.00042633	Polonia, Indonesia
ANI 	0.00042580	Aniak Airport, United States
SAT 	0.00042517	San Antonio Intl, United States
HAK 	0.00042368	Meilan, China
