Reading Airport file from airports.txt
There were 5740 Airports with IATA code
Reading Routes file from routes.txt
There were 68292 valid routes
There were 528 invalid routes

The epsilon is 1e-15 
The damping factor is 0.85 
The maximum number of iterations is 1000 

IATA	PageRank	Name
DQH 	0.00017422	Douglas Municipal Airport, United States
FRP 	0.00017422	St Lucie County International Airport, United States
ALX 	0.00017422	Alexandria, United States
TAN 	0.00017422	Taunton Municipal Airport - King Field, United States
PYM 	0.00017422	Plymouth Municipal Airport, United States
OQU 	0.00017422	Quonset State Airport, United States
1B9 	0.00017422	Mansfield Municipal, United States
OWD 	0.00017422	Norwood Memorial Airport, United States
BAF 	0.00017422	Barnes Municipal, United States
IJD 	0.00017422	Windham Airport, United States
MGJ 	0.00017422	Orange County Airport, United States
CXY 	0.00017422	Capital City Airport, United States
GHG 	0.00017422	Marshfield Municipal Airport, United States
DXR 	0.00017422	Danbury Municipal Airport, United States
ASH 	0.00017422	Boire Field Airport, United States
LWM 	0.00017422	Lawrence Municipal Airport, United States
OXC 	0.00017422	Waterbury-Oxford Airport, United States
FIT 	0.00017422	Fitchburg Municipal Airport, United States
VPC 	0.00017422	Cartersville Airport, United States
PYP 	0.00017422	Centre-Piedmont-Cherokee County Regional Airport, United States
RMG 	0.00017422	Richard B Russell Airport, United States
GAD 	0.00017422	Northeast Alabama Regional Airport, United States
DKX 	0.00017422	Knoxville Downtown Island Airport, United States
WDR 	0.00017422	Barrow County Airport, United States
JYL 	0.00017422	Plantation Airpark, United States
DNN 	0.00017422	Dalton Municipal Airport, United States
CTJ 	0.00017422	West Georgia Regional Airport - O V Gray Field, United States
4A9 	0.00017422	Isbell Field Airport, United States
LGC 	0.00017422	LaGrange-Callaway Airport, United States
MLJ 	0.00017422	Baldwin County Airport, United States
4A4 	0.00017422	Polk County Airport - Cornelius Moore Field, United States
PIM 	0.00017422	Harris County Airport, United States
FFC 	0.00017422	Atlanta Regional Airport - Falcon Field, United States
9A1 	0.00017422	Covington Municipal Airport, United States
GVL 	0.00017422	Lee Gilmer Memorial Airport, United States
54J 	0.00017422	DeFuniak Springs Airport, United States
9A5 	0.00017422	Barwick Lafayette Airport, United States
PHD 	0.00017422	Harry Clever Field Airport, United States
UDG 	0.00017422	Darlington County Jetport, United States
HXD 	0.00017422	Hilton Head Airport, United States
49A 	0.00017422	Gilmer County Airport, United States
0A9 	0.00017422	Elizabethton Municipal Airport, United States
06A 	0.00017422	Moton Field Municipal Airport, United States
DNL 	0.00017422	Daniel Field Airport, United States
MRN 	0.00017422	Foothills Regional Airport, United States
PBX 	0.00017422	Pike County Airport - Hatcher Field, United States
TOC 	0.00017422	Toccoa RG Letourneau Field Airport, United States
PLV 	0.00017422	Poltava, Ukraine
WUU 	0.00017422	Wau Airport, Sudan
OYL 	0.00017422	Moyale Airport, Kenya
WYE 	0.00017422	Yengema Airport, Sierra Leone
GBK 	0.00017422	Gbangbatok Airport, Sierra Leone
VDF 	0.00017422	Tampa Executive Airport, United States
AFW 	0.00017422	Fort Worth Alliance Airport, United States
57C 	0.00017422	East Troy Municipal Airport, United States
MYF 	0.00017422	Montgomery Field, United States
SEL 	0.00017422	Gimpo International Airpot, South Korea
RMK 	0.00017422	Renmark, Australia
YSP 	0.00017422	Marathon, Canada
YHF 	0.00017422	Rene Fontaine, Canada
YHN 	0.00017422	Hornepayne, Canada
YKX 	0.00017422	Kirkland Lake, Canada
YMG 	0.00017422	Manitouwadge, Canada
YXZ 	0.00017422	Wawa, Canada
YEM 	0.00017422	Manitoulin East, Canada
YFD 	0.00017422	Brantford, Canada
LWC 	0.00017422	Lawrence Municipal, United States
EGT 	0.00017422	Wellington Municipal, United States
6A2 	0.00017422	Griffin-Spalding County Airport, United States
NIC 	0.00017422	Nicosia International Airport, Cyprus
PMP 	0.00017422	Pompano Beach Airpark, United States
XMC 	0.00017422	Mallacoota Airport, Australia
EET 	0.00017422	Shelby County Airport, United States
YUE 	0.00017422	Yuendumu , Australia
XWG 	0.00017422	Gare de Strasbourg, France
GZS 	0.00017422	Guangzhou South Railway Station, China
OMM 	0.00017422	Marmul, Oman
ZML 	0.00017422	South Cariboo Regional Airport, Canada
UMP 	0.00017422	Indianapolis Metropolitan Airport, United States
LOZ 	0.00017422	London-Corbin Airport-MaGee Field, United States
FBG 	0.00017422	Fredericksburg Amtrak Station, United States
WMI 	0.00017422	Warsaw Modlin, Poland
YGM 	0.00017422	Gimli Industrial Park Airport, Canada
RAC 	0.00017422	John H. Batten Airport, United States
RZP 	0.00017422	Taytay Sandoval, Philippines
QOT 	0.00017422	Otaru, Japan
REI 	0.00017422	Redlands Municipal Airport, United States
49X 	0.00017422	Chemehuevi Valley, United States
RIR 	0.00017422	Flabob Airport, United States
TIW 	0.00017422	Tacoma Narrows Airport, United States
X39 	0.00017422	Tampa North Aero Park, United States
JKA 	0.00017422	Jack Edwards Airport, United States
VIF 	0.00017422	Vieste Heliport, Italy
HMJ 	0.00017422	Khmeinitskiy, Ukraine
HIW 	0.00017422	Hiroshima-Nishi, Japan
HZL 	0.00017422	Hazleton Municipal, United States
CBE 	0.00017422	Greater Cumberland Rgnl., United States
YBO 	0.00017422	Bob Quinn Lake, Canada
FGL 	0.00017422	Fox Glacier Airstrip, New Zealand
KLF 	0.00017422	Grabtsevo, Russia
XEV 	0.00017422	Central Station, Sweden
QYX 	0.00017422	Central Station, Sweden
QRH 	0.00017422	Centraal, Netherlands
XYJ 	0.00017422	Holesovice, Czech Republic
BNJ 	0.00017422	Hauptbahnhof, Germany
ZGH 	0.00017422	Central, Denmark
ZSB 	0.00017422	Hauptbahnhof, Austria
ZWE 	0.00017422	Centraal, Belgium
ELL 	0.00017422	Ellisras, South Africa
LNR 	0.00017422	Tri-County Regional Airport, United States
JOT 	0.00017422	Regional Airport, United States
VYS 	0.00017422	Illinois Valley Regional, United States
JXN 	0.00017422	Reynolds Field, United States
BBX 	0.00017422	Wings Field, United States
OBE 	0.00017422	County, United States
SEF 	0.00017422	Regional - Hendricks AAF, United States
AVO 	0.00017422	Executive, United States
GIF 	0.00017422	Gilbert Airport, United States
ZPH 	0.00017422	Municipal Airport, United States
OCF 	0.00017422	International Airport, United States
JES 	0.00017422	Jesup-Wayne County Airport, United States
52A 	0.00017422	Madison GA Municipal Airport, United States
CCO 	0.00017422	Coweta County Airport, United States
HQU 	0.00017422	McDuffie County Airport, United States
AIK 	0.00017422	Municipal Airport, United States
CDN 	0.00017422	Woodward Field, United States
LBT 	0.00017422	Municipal Airport, United States
3J1 	0.00017422	Ridgeland Airport, United States
SOP 	0.00017422	Moore County Airport, United States
RCZ 	0.00017422	Richmond County Airport, United States
99N 	0.00017422	Bamberg County Airport, United States
93C 	0.00017422	Richland Airport, United States
Y51 	0.00017422	Municipal Airport, United States
DLL 	0.00017422	Baraboo Wisconsin Dells Airport, United States
7A4 	0.00017422	Foster Field, United States
SVH 	0.00017422	Regional Airport, United States
C89 	0.00017422	Sylvania Airport, United States
BUU 	0.00017422	Municipal Airport, United States
N53 	0.00017422	Stroudsburg-Pocono Airport, United States
70N 	0.00017422	Spring Hill Airport, United States
06N 	0.00017422	Randall Airport, United States
LHV 	0.00017422	William T. Piper Mem., United States
29D 	0.00017422	Grove City Airport, United States
04G 	0.00017422	Lansdowne Airport, United States
3G3 	0.00017422	Wadsworth Municipal, United States
3G4 	0.00017422	Ashland County Airport, United States
4G0 	0.00017422	Pittsburgh-Monroeville Airport, United States
2G9 	0.00017422	Somerset County Airport, United States
4G4 	0.00017422	Youngstown Elser Metro Airport, United States
41N 	0.00017422	Braceville Airport, United States
LPR 	0.00017422	Lorain County Regional Airport, United States
7D9 	0.00017422	Germack Airport, United States
BKL 	0.00017422	Burke Lakefront Airport, United States
DKK 	0.00017422	Chautauqua County-Dunkirk Airport, United States
4G2 	0.00017422	Hamburg Inc Airport, United States
N87 	0.00017422	Trenton-Robbinsville Airport, United States
VAY 	0.00017422	South Jersey Regional Airport, United States
7N7 	0.00017422	Spitfire Aerodrome, United States
LDJ 	0.00017422	Linden Airport, United States
O03 	0.00017422	Morgantown Airport, United States
0W3 	0.00017422	Harford County Airport, United States
ANQ 	0.00017422	Tri-State Steuben County Airport, United States
C65 	0.00017422	Plymouth Municipal Airport, United States
VNW 	0.00017422	Van Wert County Airport, United States
17G 	0.00017422	Port Bucyrus-Crawford County Airport, United States
X07 	0.00017422	Lake Wales Municipal Airport, United States
RMY 	0.00017422	Brooks Field Airport, United States
GVQ 	0.00017422	Genesee County Airport, United States
0G7 	0.00017422	Finger Lakes Regional Airport, United States
N69 	0.00017422	Stormville Airport, United States
4B8 	0.00017422	Robertson Field, United States
0G6 	0.00017422	Williams County Airport, United States
CLW 	0.00017422	Clearwater Air Park, United States
X49 	0.00017422	South Lakeland Airport, United States
SCS 	0.00017422	Scatsta Airport, United Kingdom
QWC 	0.00017422	Zoo, Germany
ZFR 	0.00017422	Frankfurt Oder Hbf, Germany
PLY 	0.00017422	Gare de Lyon, France
XHP 	0.00017422	Gare de LEst, France
PAR 	0.00017422	All Airports, France
BHF 	0.00017422	Ostbahnhof, Germany
LON 	0.00017422	All Airports, United Kingdom
NYC 	0.00017422	All Airports, United States
CHI 	0.00017422	All Airports, United States
CGX 	0.00017422	Meigs Field, United States
TYO 	0.00017422	All Airports, Japan
BJS 	0.00017422	All Airports, China
MIL 	0.00017422	All Airports, Italy
WAS 	0.00017422	All Airports, United States
YMQ 	0.00017422	All Airports, Canada
YTO 	0.00017422	All Airports, Canada
JZP 	0.00017422	Pickens County Airport, United States
BGS 	0.00017422	Gesundbrunnen, Germany
CRE 	0.00017422	Grand Strand Airport, United States
SMT 	0.00017422	Sun Moon Lake Airport, Taiwan
IGQ 	0.00017422	Lansing Municipal, United States
Y72 	0.00017422	Bloyer Field, United States
RNM 	0.00017422	Ramona Airport, United States
BXO 	0.00017422	Buochs Airport, Switzerland
OEB 	0.00017422	Branch County Memorial Airport, United States
WBW 	0.00017422	Wilkes-Barre Wyoming Valley Airport, United States
LNN 	0.00017422	Lost Nation Municipal Airport, United States
FFT 	0.00017422	Capital City Airport, United States
LEW 	0.00017422	Lewiston Maine, United States
6S2 	0.00017422	Florence, United States
1A3 	0.00017422	Martin Campbell Field Airport, United States
NBU 	0.00017422	Naval Air Station, United States
MRK 	0.00017422	Marco Islands, United States
DRM 	0.00017422	Drummond Island Airport, United States
8M8 	0.00017422	Garland Airport, United States
GDW 	0.00017422	Gladwin Zettel Memorial Airport, United States
24C 	0.00017422	Lowell City Airport, United States
LWA 	0.00017422	South Haven Area Regional Airport, United States
06C 	0.00017422	Schaumburg Regional, United States
MFI 	0.00017422	Marshfield Municipal Airport, United States
ISW 	0.00017422	Alexander Field South Wood County Airport, United States
CWI 	0.00017422	Clinton Municipal, United States
BVY 	0.00017422	Beverly Municipal Airport, United States
O27 	0.00017422	Oakdale Airport, United States
YRQ 	0.00017422	Trois Rivieres Airport, Canada
POF 	0.00017422	Poplar Bluff Municipal Airport, United States
EPM 	0.00017422	Eastport Municipal Airport, United States
EOK 	0.00017422	Keokuk Municipal Airport, United States
ME5 	0.00017422	Banks Airport, United States
PSL 	0.00017422	Perth Scone Airport, United Kingdom
SOO 	0.00017422	Soderhamn Airport, Sweden
VNA 	0.00017422	Saravane Airport, Laos
E51 	0.00017422	Bagdad Airport, United States
DKS 	0.00017422	Dikson Airport, Russia
XBG 	0.00017422	Bogande Airport, Canada
BYT 	0.00017422	Bantry Aerodrome, Ireland
CHE 	0.00017422	Reeroe Airport, Ireland
ADY 	0.00017422	Alldays Airport, South Africa
E55 	0.00017422	Ocean Ridge Airport, United States
1G3 	0.00017422	Kent State Airport, United States
GAS 	0.00017422	Garissa, Kenya
HOA 	0.00017422	Hola, Kenya
KLK 	0.00017422	Kalokol, Kenya
KEY 	0.00017422	Kericho, Kenya
ILU 	0.00017422	Kilaguni, Kenya
KRV 	0.00017422	Kerio Valley, Kenya
DVD 	0.00017422	Andavadoaka, Madagascar
ATJ 	0.00017422	Antsirabe, Madagascar
OVA 	0.00017422	Bekily, Madagascar
ZRA 	0.00017422	Atlantic City Rail Terminal, United States
ZSF 	0.00017422	Springfield Amtrak Station, United States
XZK 	0.00017422	Amherst Amtrak Station AMM, United States
QQK 	0.00017422	London - Kings Cross, United Kingdom
XVJ 	0.00017422	Stevenage Railway Station, United Kingdom
XVH 	0.00017422	Peterborough Railway Station, United Kingdom
WLF 	0.00017422	Whittlesford Parkway Rail Station, United Kingdom
FLD 	0.00017422	Fond Du Lac County Airport, United States
PCZ 	0.00017422	Waupaca Municipal Airport, United States
STE 	0.00017422	Stevens Point Municipal Airport, United States
ERY 	0.00017422	Luce County Airport, United States
25D 	0.00017422	Forest Lake Airport, United States
ZVM 	0.00017422	Hannover Messe-Heliport, Germany
PEF 	0.00017422	Peenemunde Airfield, Germany
GQQ 	0.00017422	Galion Municipal Airport, United States
TPN 	0.00017422	Tiputini, Ecuador
PTZ 	0.00017422	Shell Mera, Ecuador
CKV 	0.00017422	Clarksville-Montgomery County Regional Airport, United States
XHN 	0.00017422	Liege-Guillemins Railway Station, Belgium
OHR 	0.00017422	Wyk auf Foehr, Germany
LPC 	0.00017422	Lompoc Airport, United States
CTH 	0.00017422	Chester County G O Carlson Airport, United States
BST 	0.00017422	Bost Airport, Afghanistan
ZTU 	0.00017422	Zaqatala International Airport, Azerbaijan
LKP 	0.00017422	Lake Placid Airport, United States
NY9 	0.00017422	Long Lake, United States
WIH 	0.00017422	Wishram Amtrak Station, United States
AOH 	0.00017422	Lima Allen County Airport, United States
DSO 	0.00017422	Sondok Airport, North Korea
YJS 	0.00017422	Samjiyon Airport, North Korea
SSI 	0.00017422	McKinnon Airport, United States
BFP 	0.00017422	Beaver Falls, United States
F57 	0.00017422	Seaplane Base, United States
GGE 	0.00017422	Georgetown County Airport, United States
HDI 	0.00017422	Hardwick Field Airport, United States
2A0 	0.00017422	Mark Anton Airport, United States
2G2 	0.00017422	Jefferson County Airpark, United States
RNT 	0.00017422	Renton, United States
ZBM 	0.00017422	Bromont Airport, Canada
POC 	0.00017422	Brackett Field, United States
09J 	0.00017422	Jekyll Island Airport, United States
CDK 	0.00017422	CedarKey, United States
CTY 	0.00017422	Cross City, United States
CEU 	0.00017422	Clemson, United States
36U 	0.00017422	Heber City Municipal Airport, United States
BEC 	0.00017422	Beech Factory Airport, United States
47A 	0.00017422	Cherokee County Airport, United States
55J 	0.00017422	Fernandina Beach Municipal Airport, United States
ZMB 	0.00017422	Hamburg Hbf, Germany
GTU 	0.00017422	Georgetown Municipal Airport, United States
QFO 	0.00017422	Duxford Aerodrome, United Kingdom
SNY 	0.00017422	Sidney Muni Airport, United States
W13 	0.00017422	Eagle's Nest Airport, United States
GKL 	0.00017422	Great Keppel Island, Australia
RPB 	0.00017422	Roper Bar, Australia
IFL 	0.00017422	Innisfail, Australia
BIN 	0.00017422	Bamyan Airport, Afghanistan
RGO 	0.00017422	Chongjin Airport, North Korea
MOO 	0.00017422	Moomba, Australia
JYO 	0.00017422	Leesburg Executive Airport, United States
VAM 	0.00017422	Maamigili Airport, Maldives
IRU 	0.00017422	Hilton Iru fushi, Maldives
DHG 	0.00017422	Dhigurah Centara Grand Maldives, Maldives
LSZ 	0.00017422	Losinj Airport, Croatia
ONS 	0.00017422	Onslow , Australia
TDR 	0.00017422	Theodore, Australia
CZW 	0.00017422	RUDNIKI , Poland
SDC 	0.00017422	Williamson-Sodus Airport, United States
CLC 	0.00017422	Clear Lake Metroport, United States
CFX 	0.00017422	Gilberto Lavaque, Argentina
WBU 	0.00017422	Boulder Municipal, United States
PAO 	0.00017422	Palo Alto Airport of Santa Clara County, United States
FFZ 	0.00017422	Mesa Falcon Field, United States
P08 	0.00017422	Coolidge Municipal Airport, United States
P52 	0.00017422	Cottonwood Airport, United States
A39 	0.00017422	Phoenix Regional Airport, United States
E25 	0.00017422	Wickenburg Municipal Airport, United States
PTK 	0.00017422	Oakland Co. Intl, United States
KSI 	0.00017422	Kissidougou, Guinea
QPJ 	0.00017422	Pecs, Hungary
EEN 	0.00017422	Dillant Hopkins Airport, United States
RCS 	0.00017422	Rochester Airport, United Kingdom
JHL 	0.00017422	Albian Aerodrome, Canada
EQY 	0.00017422	Monroe Reqional Airport, United States
KNN 	0.00017422	Kankan, Guinea
KMP 	0.00017422	Keetmanshoop, Namibia
IOW 	0.00017422	Iowa City Municipal Airport, United States
TLQ 	0.00017422	Turpan, China
MWM 	0.00017422	Windom Municipal Airport, United States
ANP 	0.00017422	Lee Airport, United States
DUU 	0.00017422	Ndutu, Tanzania
FXO 	0.00017422	Cuamba, Mozambique
ZTR 	0.00017422	Zhytomyr, Ukraine
PEQ 	0.00017422	Pecos Municipal Airport, United States
HBG 	0.00017422	Hattiesburg Bobby L. Chain Municipal Airport, United States
QCJ 	0.00017422	Botucatu, Brazil
QSC 	0.00017422	Sao Carlos TAM, Brazil
YKN 	0.00017422	Chan Gurney, United States
SES 	0.00017422	Selfield Airport, United States
PCM 	0.00017422	Playa del Carmen Airport, Mexico
KTI 	0.00017422	Kratie Airport, Cambodia
GYU 	0.00017422	Guyuan, China
CNI 	0.00017422	Changhai, China
KRH 	0.00017422	Redhill Aerodrome, United Kingdom
CCL 	0.00017422	Chinchilla, Australia
1C9 	0.00017422	Frazier Lake Airpark, United States
HWD 	0.00017422	Hayward Executive Airport, United States
MZP 	0.00017422	Motueka, New Zealand
JHQ 	0.00017422	Shute Harbour, Australia
ARB 	0.00017422	Ann Arbor Municipal Airport, United States
SHT 	0.00017422	Shepparton, Australia
TEM 	0.00017422	Temora, Australia
GAH 	0.00017422	Gayndah, Australia
EIA 	0.00017422	Popondetta, Papua New Guinea
WIO 	0.00017422	Wilcannia, Australia
VLU 	0.00017422	Velikiye Luki, Russia
ZTY 	0.00017422	Boston Back Bay Station, United States
YLK 	0.00017422	Yelahanka AFB, India
ULI 	0.00017422	Ulithi, Micronesia
BKN 	0.00017422	Balkanabat, Turkmenistan
BEO 	0.00017422	Belmont Airport, Australia
4A7 	0.00017422	Clayton County Tara Field, United States
BMP 	0.00017422	Brampton Island, Australia
NGZ 	0.00017422	NAS Alameda, United States
ZWI 	0.00017422	Wilmington Amtrak Station, United States
NML 	0.00017422	Fort McMurray - Mildred Lake Airport, Canada
EKI 	0.00017422	Elkhart Municipal, United States
YCN 	0.00017422	Cochrane, Canada
BJP 	0.00017422	Aeroporto Estadual Arthur Siqueira, Brazil
GGR 	0.00017422	Garowe - International, Somalia
IVR 	0.00017422	Inverell, Australia
GLI 	0.00017422	Glen Innes, Australia
TER 	0.00017387	Lajes, Portugal
YYQ 	0.00017361	Churchill, Canada
GSP 	0.00017355	Greenville-Spartanburg International, United States
BWN 	0.00017314	Brunei Intl, Brunei
ILO 	0.00017312	Iloilo, Philippines
ROC 	0.00017308	Greater Rochester Intl, United States
SRZ 	0.00017302	Santa Cruz, Bolivia
BRN 	0.00017300	Bern Belp, Switzerland
YEK 	0.00017295	Arviat, Canada
TAL 	0.00017247	Tanana Airport, United States
CUK 	0.00017236	Caye Caulker Airport, Belize
VAR 	0.00017217	Varna, Bulgaria
PIR 	0.00017178	Pierre Regional Airport, United States
ASU 	0.00017171	Silvio Pettirossi Intl, Paraguay
AGA 	0.00017164	Inezgane, Morocco
MAB 	0.00017142	Maraba, Brazil
PUY 	0.00017117	Pula, Croatia
RCE 	0.00017046	Roche Harbor Seaplane Base, United States
WDH 	0.00017026	Windhoek Hosea Kutako International Airport , Namibia
HLT 	0.00017001	Hamilton Airport, Australia
MSA 	0.00016999	Muskrat Dam Airport, Canada
PMC 	0.00016986	El Tepual Intl, Chile
CHS 	0.00016975	Charleston Afb Intl, United States
ONT 	0.00016939	Ontario Intl, United States
ANV 	0.00016909	Anvik Airport, United States
ADE 	0.00016907	Aden Intl, Yemen
YLW 	0.00016866	Kelowna, Canada
TBZ 	0.00016853	Tabriz Intl, Iran
RBY 	0.00016846	Ruby Airport, United States
CBB 	0.00016823	Jorge Wilsterman, Bolivia
DAY 	0.00016821	James M Cox Dayton Intl, United States
YMN 	0.00016811	Makkovik Airport, Canada
GOI 	0.00016757	Goa, India
CBR 	0.00016757	Canberra, Australia
LIR 	0.00016752	Daniel Oduber Quiros Intl, Costa Rica
GUR 	0.00016736	Gurney Airport, Papua New Guinea
JJU 	0.00016711	Qaqortoq Heliport, Greenland
DJE 	0.00016700	Zarzis, Tunisia
UIB 	0.00016617	El Carano, Colombia
AJU 	0.00016613	Santa Maria, Brazil
SNN 	0.00016611	Shannon, Ireland
IDR 	0.00016610	Devi Ahilyabai Holkar, India
BDJ 	0.00016600	Syamsudin Noor, Indonesia
DYU 	0.00016566	Dushanbe, Tajikistan
PZO 	0.00016543	General Manuel Carlos Piar, Venezuela
USM 	0.00016373	Samui, Thailand
FAT 	0.00016316	Fresno Yosemite Intl, United States
NAQ 	0.00016263	Qaanaaq Airport, Greenland
KKH 	0.00016263	Kongiganak Airport, United States
CUL 	0.00016260	Culiacan Intl, Mexico
XBE 	0.00016238	Bearskin Lake Airport, Canada
YAX 	0.00016209	Wapekeka Airport, Canada
SRG 	0.00016188	Achmad Yani, Indonesia
TFF 	0.00016148	Tefe, Brazil
TLC 	0.00016058	Licenciado Adolfo Lopez Mateos Intl, Mexico
BJL 	0.00016031	Banjul Intl, Gambia
YCO 	0.00016029	Kugluktuk, Canada
ZKE 	0.00016017	Kashechewan Airport, Canada
CZX 	0.00015996	Changzhou, China
PAP 	0.00015974	Toussaint Louverture Intl, Haiti
LCE 	0.00015946	Goloson Intl, Honduras
DSM 	0.00015902	Des Moines Intl, United States
RTM 	0.00015888	Rotterdam, Netherlands
AQP 	0.00015873	Rodriguez Ballon, Peru
UDI 	0.00015858	Ten Cel Av Cesar Bombonato, Brazil
MMX 	0.00015827	Sturup, Sweden
MGF 	0.00015814	Regional De Maringa Silvio Name Junior, Brazil
JHB 	0.00015806	Sultan Ismail, Malaysia
TYS 	0.00015792	Mc Ghee Tyson, United States
YSO 	0.00015749	Postville Airport, Canada
CEK 	0.00015744	Balandino, Russia
GCI 	0.00015691	Guernsey, Guernsey
IQQ 	0.00015672	Diego Aracena Intl, Chile
UVE 	0.00015661	Ouvea, New Caledonia
TGJ 	0.00015661	Tiga Airport, New Caledonia
LIT 	0.00015643	Adams Fld, United States
YHR 	0.00015642	Chevery Airport, Canada
MNG 	0.00015622	Maningrida Airport, Australia
FSC 	0.00015573	Sud Corse, France
KWK 	0.00015570	Kwigillingok Airport, United States
TGD 	0.00015565	Podgorica, Montenegro
ZNZ 	0.00015547	Zanzibar, Tanzania
KOE 	0.00015515	El Tari, Indonesia
HPN 	0.00015505	Westchester Co, United States
LKE 	0.00015481	Kenmore Air Harbor Seaplane Base, United States
BKO 	0.00015469	Senou, Mali
CMA 	0.00015455	Cunnamulla Airport, Australia
TJA 	0.00015344	Capitan Oriel Lea Plaza, Bolivia
BUR 	0.00015328	Bob Hope, United States
YYY 	0.00015290	Mont Joli, Canada
YQR 	0.00015289	Regina Intl, Canada
WBB 	0.00015287	Stebbins Airport, United States
CLY 	0.00015285	Saint Catherine, France
YFX 	0.00015266	St. Lewis (Fox Harbour) Airport, Canada
MAR 	0.00015225	La Chinita Intl, Venezuela
ADZ 	0.00015189	Gustavo Rojas Pinilla, Colombia
BDS 	0.00015186	Casale, Italy
KUS 	0.00015183	Kulusuk, Greenland
YHK 	0.00015174	Gjoa Haven, Canada
DZA 	0.00015160	Dzaoudzi Pamandzi, Mayotte
NHV 	0.00015131	Nuku Hiva, French Polynesia
AUQ 	0.00015131	Hiva Oa-Atuona Airport, French Polynesia
YPM 	0.00015119	Pikangikum Airport, Canada
OMS 	0.00015116	Omsk, Russia
KIN 	0.00015114	Norman Manley Intl, Jamaica
ADA 	0.00015113	Adana, Turkey
LKO 	0.00015112	Lucknow, India
MHT 	0.00015101	Manchester Regional Airport, United States
DTD 	0.00015043	Datadawai Airport, Indonesia
SRE 	0.00015041	Juana Azurduy De Padilla, Bolivia
RAS 	0.00014985	Rasht, Iran
VPE 	0.00014948	Ondjiva Pereira Airport, Angola
KWN 	0.00014934	Quinhagak Airport, United States
HEH 	0.00014904	Heho, Burma
YMM 	0.00014876	Fort Mcmurray, Canada
POZ 	0.00014851	Lawica, Poland
BBO 	0.00014772	Berbera, Somalia
LST 	0.00014753	Launceston, Australia
IGU 	0.00014741	Cataratas Intl, Brazil
NQN 	0.00014711	Presidente Peron, Argentina
ALF 	0.00014709	Alta, Norway
YGT 	0.00014678	Igloolik Airport, Canada
MGZ 	0.00014676	Myeik, Burma
KNX 	0.00014669	Kununurra, Australia
BTS 	0.00014668	M R Stefanik, Slovakia
GST 	0.00014639	Gustavus Airport, United States
YZG 	0.00014638	Salluit Airport, Canada
SLH 	0.00014610	Sola Airport, Vanuatu
MTV 	0.00014610	Mota Lava Airport, Vanuatu
BOB 	0.00014603	Bora Bora, French Polynesia
EFL 	0.00014591	Kefallinia, Greece
ELP 	0.00014585	El Paso Intl, United States
MPA 	0.00014575	Katima Mulilo Airport, Namibia
MGA 	0.00014553	Managua Intl, Nicaragua
SCW 	0.00014540	Syktyvkar, Russia
CGA 	0.00014522	Craig Seaplane Base, United States
SKK 	0.00014517	Shaktoolik Airport, United States
XRY 	0.00014505	Jerez, Spain
ELI 	0.00014496	Elim Airport, United States
APL 	0.00014485	Nampula, Mozambique
CCV 	0.00014482	Craig Cove Airport, Vanuatu
PRC 	0.00014475	Ernest A Love Fld, United States
LRE 	0.00014447	Longreach Airport, Australia
YWH 	0.00014436	Victoria Inner Harbour Airport, Canada
AKP 	0.00014426	Anaktuvuk Pass Airport, United States
WEH 	0.00014406	Weihai Airport, China
KWA 	0.00014368	Bucholz Aaf, Marshall Islands
LDB 	0.00014364	Londrina, Brazil
PNI 	0.00014362	Pohnpei Intl, Micronesia
ASP 	0.00014358	Alice Springs, Australia
PIK 	0.00014331	Prestwick, United Kingdom
SIT 	0.00014325	Sitka Rocky Gutierrez, United States
KTS 	0.00014309	Brevig Mission Airport, United States
SXR 	0.00014282	Srinagar, India
VDS 	0.00014264	Airport, Norway
BTT 	0.00014256	Bettles, United States
FBS 	0.00014244	Friday Harbor Seaplane Base, United States
IRA 	0.00014236	Ngorangora Airport, Solomon Islands
YWB 	0.00014219	Kangiqsujuaq - Wakeham Bay Airport, Canada
HOG 	0.00014184	Frank Pais Intl, Cuba
MEB 	0.00014176	Melbourne Essendon, Australia
YKG 	0.00014167	Kangirsuk Airport, Canada
CYF 	0.00014092	Chefornak Airport, United States
LGB 	0.00014089	Long Beach, United States
YIK 	0.00014074	Ivujivik Airport, Canada
OND 	0.00014073	Ondangwa Airport, Namibia
NDU 	0.00014073	Rundu, Namibia
YXP 	0.00014007	Pangnirtung, Canada
BOH 	0.00013999	Bournemouth, United Kingdom
GSE 	0.00013996	Save, Sweden
HCR 	0.00013985	Holy Cross Airport, United States
YXN 	0.00013969	Whale Cove Airport, Canada
VNS 	0.00013944	Varanasi, India
MBA 	0.00013913	Mombasa Moi Intl, Kenya
YNA 	0.00013907	Natashquan, Canada
YIF 	0.00013880	St Augustin Airport, Canada
YAY 	0.00013855	St Anthony, Canada
KKA 	0.00013840	Koyuk Alfred Adams Airport, United States
SUR 	0.00013840	Summer Beaver Airport, Canada
SEZ 	0.00013839	Seychelles Intl, Seychelles
HYL 	0.00013826	Hollis Seaplane Base, United States
YYH 	0.00013819	Taloyoak, Canada
TSR 	0.00013791	Traian Vuia, Romania
WNN 	0.00013788	Wunnumin Lake Airport, Canada
YHI 	0.00013773	Ulukhaktok Holman, Canada
CAK 	0.00013771	Akron Canton Regional Airport, United States
MDT 	0.00013768	Harrisburg Intl, United States
SLA 	0.00013753	Salta, Argentina
YMO 	0.00013737	Moosonee, Canada
